Dim1Name,Zip,Dim2Name,Dim2Value,Date ,Count,
Citywide,Citwide,Age Group,All age groups,2/27/20,422,
Citywide,Citwide,Age Group,All age groups,2/28/20,374,
Citywide,Citwide,Age Group,All age groups,2/29/20,388,
Citywide,Citwide,Age Group,All age groups,3/1/20,404,
Citywide,Citwide,Age Group,All age groups,3/2/20,622,
Citywide,Citwide,Age Group,All age groups,3/3/20,529,
Citywide,Citwide,Age Group,All age groups,3/4/20,560,
Citywide,Citwide,Age Group,All age groups,3/5/20,613,
Citywide,Citwide,Age Group,All age groups,3/6/20,561,
Citywide,Citwide,Age Group,All age groups,3/7/20,486,
Citywide,Citwide,Age Group,All age groups,3/8/20,531,
Citywide,Citwide,Age Group,All age groups,3/9/20,749,
Citywide,Citwide,Age Group,All age groups,3/10/20,829,
Citywide,Citwide,Age Group,All age groups,3/11/20,959,
Citywide,Citwide,Age Group,All age groups,3/12/20,"1,167",
Citywide,Citwide,Age Group,All age groups,3/13/20,"1,119",
Citywide,Citwide,Age Group,All age groups,3/14/20,847,
Citywide,Citwide,Age Group,All age groups,3/15/20,"1,024",
Citywide,Citwide,Age Group,All age groups,3/16/20,"1,324",
Citywide,Citwide,Age Group,All age groups,3/17/20,"1,276",
Citywide,Citwide,Age Group,All age groups,3/18/20,"1,438",
Citywide,Citwide,Age Group,All age groups,3/19/20,"1,477",
Citywide,Citwide,Age Group,All age groups,3/20/20,"1,589",
Citywide,Citwide,Age Group,All age groups,3/21/20,"1,230",
Citywide,Citwide,Age Group,All age groups,3/22/20,"1,182",
Citywide,Citwide,Age Group,All age groups,3/23/20,"1,336",
Citywide,Citwide,Age Group,All age groups,3/24/20,"1,650",
Citywide,Citwide,Age Group,All age groups,3/25/20,"1,696",
Citywide,Citwide,Age Group,All age groups,3/26/20,"1,432",
Citywide,Citwide,Age Group,All age groups,3/27/20,"1,316",
Citywide,Citwide,Age Group,Ages 0-4 years,2/27/20,99,
Citywide,Citwide,Age Group,Ages 0-4 years,2/28/20,96,
Citywide,Citwide,Age Group,Ages 0-4 years,2/29/20,114,
Citywide,Citwide,Age Group,Ages 0-4 years,3/1/20,118,
Citywide,Citwide,Age Group,Ages 0-4 years,3/2/20,157,
Citywide,Citwide,Age Group,Ages 0-4 years,3/3/20,107,
Citywide,Citwide,Age Group,Ages 0-4 years,3/4/20,123,
Citywide,Citwide,Age Group,Ages 0-4 years,3/5/20,121,
Citywide,Citwide,Age Group,Ages 0-4 years,3/6/20,130,
Citywide,Citwide,Age Group,Ages 0-4 years,3/7/20,107,
Citywide,Citwide,Age Group,Ages 0-4 years,3/8/20,121,
Citywide,Citwide,Age Group,Ages 0-4 years,3/9/20,155,
Citywide,Citwide,Age Group,Ages 0-4 years,3/10/20,134,
Citywide,Citwide,Age Group,Ages 0-4 years,3/11/20,145,
Citywide,Citwide,Age Group,Ages 0-4 years,3/12/20,172,
Citywide,Citwide,Age Group,Ages 0-4 years,3/13/20,121,
Citywide,Citwide,Age Group,Ages 0-4 years,3/14/20,123,
Citywide,Citwide,Age Group,Ages 0-4 years,3/15/20,145,
Citywide,Citwide,Age Group,Ages 0-4 years,3/16/20,113,
Citywide,Citwide,Age Group,Ages 0-4 years,3/17/20,107,
Citywide,Citwide,Age Group,Ages 0-4 years,3/18/20,71,
Citywide,Citwide,Age Group,Ages 0-4 years,3/19/20,84,
Citywide,Citwide,Age Group,Ages 0-4 years,3/20/20,89,
Citywide,Citwide,Age Group,Ages 0-4 years,3/21/20,69,
Citywide,Citwide,Age Group,Ages 0-4 years,3/22/20,56,
Citywide,Citwide,Age Group,Ages 0-4 years,3/23/20,42,
Citywide,Citwide,Age Group,Ages 0-4 years,3/24/20,62,
Citywide,Citwide,Age Group,Ages 0-4 years,3/25/20,46,
Citywide,Citwide,Age Group,Ages 0-4 years,3/26/20,39,
Citywide,Citwide,Age Group,Ages 0-4 years,3/27/20,21,
Citywide,Citwide,Age Group,Ages 5-17 years,2/27/20,63,
Citywide,Citwide,Age Group,Ages 5-17 years,2/28/20,65,
Citywide,Citwide,Age Group,Ages 5-17 years,2/29/20,78,
Citywide,Citwide,Age Group,Ages 5-17 years,3/1/20,82,
Citywide,Citwide,Age Group,Ages 5-17 years,3/2/20,132,
Citywide,Citwide,Age Group,Ages 5-17 years,3/3/20,116,
Citywide,Citwide,Age Group,Ages 5-17 years,3/4/20,119,
Citywide,Citwide,Age Group,Ages 5-17 years,3/5/20,122,
Citywide,Citwide,Age Group,Ages 5-17 years,3/6/20,117,
Citywide,Citwide,Age Group,Ages 5-17 years,3/7/20,101,
Citywide,Citwide,Age Group,Ages 5-17 years,3/8/20,118,
Citywide,Citwide,Age Group,Ages 5-17 years,3/9/20,162,
Citywide,Citwide,Age Group,Ages 5-17 years,3/10/20,170,
Citywide,Citwide,Age Group,Ages 5-17 years,3/11/20,159,
Citywide,Citwide,Age Group,Ages 5-17 years,3/12/20,187,
Citywide,Citwide,Age Group,Ages 5-17 years,3/13/20,164,
Citywide,Citwide,Age Group,Ages 5-17 years,3/14/20,101,
Citywide,Citwide,Age Group,Ages 5-17 years,3/15/20,137,
Citywide,Citwide,Age Group,Ages 5-17 years,3/16/20,109,
Citywide,Citwide,Age Group,Ages 5-17 years,3/17/20,83,
Citywide,Citwide,Age Group,Ages 5-17 years,3/18/20,73,
Citywide,Citwide,Age Group,Ages 5-17 years,3/19/20,68,
Citywide,Citwide,Age Group,Ages 5-17 years,3/20/20,67,
Citywide,Citwide,Age Group,Ages 5-17 years,3/21/20,36,
Citywide,Citwide,Age Group,Ages 5-17 years,3/22/20,43,
Citywide,Citwide,Age Group,Ages 5-17 years,3/23/20,31,
Citywide,Citwide,Age Group,Ages 5-17 years,3/24/20,48,
Citywide,Citwide,Age Group,Ages 5-17 years,3/25/20,35,
Citywide,Citwide,Age Group,Ages 5-17 years,3/26/20,30,
Citywide,Citwide,Age Group,Ages 5-17 years,3/27/20,26,
Citywide,Citwide,Age Group,Ages 18-64 years,2/27/20,226,
Citywide,Citwide,Age Group,Ages 18-64 years,2/28/20,194,
Citywide,Citwide,Age Group,Ages 18-64 years,2/29/20,173,
Citywide,Citwide,Age Group,Ages 18-64 years,3/1/20,178,
Citywide,Citwide,Age Group,Ages 18-64 years,3/2/20,295,
Citywide,Citwide,Age Group,Ages 18-64 years,3/3/20,274,
Citywide,Citwide,Age Group,Ages 18-64 years,3/4/20,290,
Citywide,Citwide,Age Group,Ages 18-64 years,3/5/20,347,
Citywide,Citwide,Age Group,Ages 18-64 years,3/6/20,276,
Citywide,Citwide,Age Group,Ages 18-64 years,3/7/20,251,
Citywide,Citwide,Age Group,Ages 18-64 years,3/8/20,261,
Citywide,Citwide,Age Group,Ages 18-64 years,3/9/20,398,
Citywide,Citwide,Age Group,Ages 18-64 years,3/10/20,471,
Citywide,Citwide,Age Group,Ages 18-64 years,3/11/20,599,
Citywide,Citwide,Age Group,Ages 18-64 years,3/12/20,721,
Citywide,Citwide,Age Group,Ages 18-64 years,3/13/20,742,
Citywide,Citwide,Age Group,Ages 18-64 years,3/14/20,553,
Citywide,Citwide,Age Group,Ages 18-64 years,3/15/20,665,
Citywide,Citwide,Age Group,Ages 18-64 years,3/16/20,"1,002",
Citywide,Citwide,Age Group,Ages 18-64 years,3/17/20,970,
Citywide,Citwide,Age Group,Ages 18-64 years,3/18/20,"1,162",
Citywide,Citwide,Age Group,Ages 18-64 years,3/19/20,"1,172",
Citywide,Citwide,Age Group,Ages 18-64 years,3/20/20,"1,255",
Citywide,Citwide,Age Group,Ages 18-64 years,3/21/20,959,
Citywide,Citwide,Age Group,Ages 18-64 years,3/22/20,941,
Citywide,Citwide,Age Group,Ages 18-64 years,3/23/20,"1,093",
Citywide,Citwide,Age Group,Ages 18-64 years,3/24/20,"1,333",
Citywide,Citwide,Age Group,Ages 18-64 years,3/25/20,"1,365",
Citywide,Citwide,Age Group,Ages 18-64 years,3/26/20,"1,143",
Citywide,Citwide,Age Group,Ages 18-64 years,3/27/20,"1,048",
Citywide,Citwide,Age Group,Ages 65+ years,2/27/20,34,
Citywide,Citwide,Age Group,Ages 65+ years,2/28/20,19,
Citywide,Citwide,Age Group,Ages 65+ years,2/29/20,23,
Citywide,Citwide,Age Group,Ages 65+ years,3/1/20,26,
Citywide,Citwide,Age Group,Ages 65+ years,3/2/20,38,
Citywide,Citwide,Age Group,Ages 65+ years,3/3/20,32,
Citywide,Citwide,Age Group,Ages 65+ years,3/4/20,28,
Citywide,Citwide,Age Group,Ages 65+ years,3/5/20,23,
Citywide,Citwide,Age Group,Ages 65+ years,3/6/20,38,
Citywide,Citwide,Age Group,Ages 65+ years,3/7/20,27,
Citywide,Citwide,Age Group,Ages 65+ years,3/8/20,31,
Citywide,Citwide,Age Group,Ages 65+ years,3/9/20,34,
Citywide,Citwide,Age Group,Ages 65+ years,3/10/20,54,
Citywide,Citwide,Age Group,Ages 65+ years,3/11/20,56,
Citywide,Citwide,Age Group,Ages 65+ years,3/12/20,87,
Citywide,Citwide,Age Group,Ages 65+ years,3/13/20,92,
Citywide,Citwide,Age Group,Ages 65+ years,3/14/20,70,
Citywide,Citwide,Age Group,Ages 65+ years,3/15/20,77,
Citywide,Citwide,Age Group,Ages 65+ years,3/16/20,100,
Citywide,Citwide,Age Group,Ages 65+ years,3/17/20,116,
Citywide,Citwide,Age Group,Ages 65+ years,3/18/20,132,
Citywide,Citwide,Age Group,Ages 65+ years,3/19/20,153,
Citywide,Citwide,Age Group,Ages 65+ years,3/20/20,178,
Citywide,Citwide,Age Group,Ages 65+ years,3/21/20,166,
Citywide,Citwide,Age Group,Ages 65+ years,3/22/20,142,
Citywide,Citwide,Age Group,Ages 65+ years,3/23/20,170,
Citywide,Citwide,Age Group,Ages 65+ years,3/24/20,207,
Citywide,Citwide,Age Group,Ages 65+ years,3/25/20,250,
Citywide,Citwide,Age Group,Ages 65+ years,3/26/20,220,
Citywide,Citwide,Age Group,Ages 65+ years,3/27/20,221,
Zip,10002,Age Group,All age groups,2/27/20,3,
Zip,10002,Age Group,All age groups,2/28/20,0,
Zip,10002,Age Group,All age groups,2/29/20,1,
Zip,10002,Age Group,All age groups,3/1/20,2,
Zip,10002,Age Group,All age groups,3/2/20,5,
Zip,10002,Age Group,All age groups,3/3/20,7,
Zip,10002,Age Group,All age groups,3/4/20,3,
Zip,10002,Age Group,All age groups,3/5/20,3,
Zip,10002,Age Group,All age groups,3/6/20,5,
Zip,10002,Age Group,All age groups,3/7/20,5,
Zip,10002,Age Group,All age groups,3/8/20,3,
Zip,10002,Age Group,All age groups,3/9/20,4,
Zip,10002,Age Group,All age groups,3/10/20,7,
Zip,10002,Age Group,All age groups,3/11/20,9,
Zip,10002,Age Group,All age groups,3/12/20,10,
Zip,10002,Age Group,All age groups,3/13/20,7,
Zip,10002,Age Group,All age groups,3/14/20,4,
Zip,10002,Age Group,All age groups,3/15/20,5,
Zip,10002,Age Group,All age groups,3/16/20,8,
Zip,10002,Age Group,All age groups,3/17/20,12,
Zip,10002,Age Group,All age groups,3/18/20,4,
Zip,10002,Age Group,All age groups,3/19/20,5,
Zip,10002,Age Group,All age groups,3/20/20,3,
Zip,10002,Age Group,All age groups,3/21/20,2,
Zip,10002,Age Group,All age groups,3/22/20,5,
Zip,10002,Age Group,All age groups,3/23/20,7,
Zip,10002,Age Group,All age groups,3/24/20,8,
Zip,10002,Age Group,All age groups,3/25/20,9,
Zip,10002,Age Group,All age groups,3/26/20,7,
Zip,10002,Age Group,All age groups,3/27/20,7,
Zip,10002,Age Group,Ages 0-4 years,2/27/20,1,
Zip,10002,Age Group,Ages 0-4 years,2/28/20,0,
Zip,10002,Age Group,Ages 0-4 years,2/29/20,0,
Zip,10002,Age Group,Ages 0-4 years,3/1/20,0,
Zip,10002,Age Group,Ages 0-4 years,3/2/20,1,
Zip,10002,Age Group,Ages 0-4 years,3/3/20,1,
Zip,10002,Age Group,Ages 0-4 years,3/4/20,0,
Zip,10002,Age Group,Ages 0-4 years,3/5/20,1,
Zip,10002,Age Group,Ages 0-4 years,3/6/20,0,
Zip,10002,Age Group,Ages 0-4 years,3/7/20,0,
Zip,10002,Age Group,Ages 0-4 years,3/8/20,0,
Zip,10002,Age Group,Ages 0-4 years,3/9/20,0,
Zip,10002,Age Group,Ages 0-4 years,3/10/20,0,
Zip,10002,Age Group,Ages 0-4 years,3/11/20,0,
Zip,10002,Age Group,Ages 0-4 years,3/12/20,0,
Zip,10002,Age Group,Ages 0-4 years,3/13/20,0,
Zip,10002,Age Group,Ages 0-4 years,3/14/20,0,
Zip,10002,Age Group,Ages 0-4 years,3/15/20,0,
Zip,10002,Age Group,Ages 0-4 years,3/16/20,0,
Zip,10002,Age Group,Ages 0-4 years,3/17/20,2,
Zip,10002,Age Group,Ages 0-4 years,3/18/20,0,
Zip,10002,Age Group,Ages 0-4 years,3/19/20,1,
Zip,10002,Age Group,Ages 0-4 years,3/20/20,0,
Zip,10002,Age Group,Ages 0-4 years,3/21/20,0,
Zip,10002,Age Group,Ages 0-4 years,3/22/20,0,
Zip,10002,Age Group,Ages 0-4 years,3/23/20,0,
Zip,10002,Age Group,Ages 0-4 years,3/24/20,1,
Zip,10002,Age Group,Ages 0-4 years,3/25/20,1,
Zip,10002,Age Group,Ages 0-4 years,3/26/20,0,
Zip,10002,Age Group,Ages 0-4 years,3/27/20,0,
Zip,10002,Age Group,Ages 5-17 years,2/27/20,0,
Zip,10002,Age Group,Ages 5-17 years,2/28/20,0,
Zip,10002,Age Group,Ages 5-17 years,2/29/20,0,
Zip,10002,Age Group,Ages 5-17 years,3/1/20,1,
Zip,10002,Age Group,Ages 5-17 years,3/2/20,0,
Zip,10002,Age Group,Ages 5-17 years,3/3/20,1,
Zip,10002,Age Group,Ages 5-17 years,3/4/20,1,
Zip,10002,Age Group,Ages 5-17 years,3/5/20,0,
Zip,10002,Age Group,Ages 5-17 years,3/6/20,2,
Zip,10002,Age Group,Ages 5-17 years,3/7/20,1,
Zip,10002,Age Group,Ages 5-17 years,3/8/20,1,
Zip,10002,Age Group,Ages 5-17 years,3/9/20,1,
Zip,10002,Age Group,Ages 5-17 years,3/10/20,0,
Zip,10002,Age Group,Ages 5-17 years,3/11/20,0,
Zip,10002,Age Group,Ages 5-17 years,3/12/20,3,
Zip,10002,Age Group,Ages 5-17 years,3/13/20,0,
Zip,10002,Age Group,Ages 5-17 years,3/14/20,0,
Zip,10002,Age Group,Ages 5-17 years,3/15/20,0,
Zip,10002,Age Group,Ages 5-17 years,3/16/20,0,
Zip,10002,Age Group,Ages 5-17 years,3/17/20,1,
Zip,10002,Age Group,Ages 5-17 years,3/18/20,0,
Zip,10002,Age Group,Ages 5-17 years,3/19/20,0,
Zip,10002,Age Group,Ages 5-17 years,3/20/20,0,
Zip,10002,Age Group,Ages 5-17 years,3/21/20,0,
Zip,10002,Age Group,Ages 5-17 years,3/22/20,0,
Zip,10002,Age Group,Ages 5-17 years,3/23/20,0,
Zip,10002,Age Group,Ages 5-17 years,3/24/20,0,
Zip,10002,Age Group,Ages 5-17 years,3/25/20,0,
Zip,10002,Age Group,Ages 5-17 years,3/26/20,0,
Zip,10002,Age Group,Ages 5-17 years,3/27/20,0,
