Neighborhood,Zip Code,Rate (ER visits per 10K),Total ER Visits,Change since previous day,ER visits for fever/flu,ER visits for respiratory symptoms
Central Harlem,10030,6.96217219772569,21.0,↑,18.0,3.0
Port Richmond,10302,3.7758239387237715,7.0, ,7.0,0.0
West Queens,11369,3.750837240455459,14.0, ,14.0,0.0
Chelsea and Clinton,10036,3.7218996575852317,10.0,↑,8.0,2.0
Inwood and Washington Heights,10032,3.3235736329825114,21.0,↑,18.0,3.0
West Queens,11373,3.321121293576744,32.0, ,29.0,3.0
Hunts Point and Mott Haven,10455,3.2896282720052636,14.0, ,12.0,2.0
Southwest Queens,11418,3.0560012224004893,12.0, ,12.0,0.0
West Queens,11368,2.965624918227254,34.0, ,33.0,1.0
Southeast Queens,11427,2.9400646814229914,7.0, ,7.0,0.0
Rockaways,11691,2.907154660627945,19.0, ,15.0,4.0
North Queens,11357,2.8990409006353732,12.0, ,12.0,0.0
Bushwick and Williamsburg,11237,2.8670272749861425,15.0, ,14.0,1.0
Stapleton and St. George,10305,2.5997967431637163,11.0, ,10.0,1.0
Hunts Point and Mott Haven,10454,2.587054379883065,10.0, ,8.0,2.0
Jamaica,11435,2.53318471982977,15.0, ,15.0,0.0
Northwest Queens,11101,2.4261749618743935,7.0, ,7.0,0.0
Sunset Park,11220,2.390152571405808,24.0, ,24.0,0.0
Rockaways,11693,2.3605319065229367,3.0, ,3.0,0.0
Rockaways,11693,2.3605319065229367,3.0, ,3.0,0.0
Rockaways,11693,2.3605319065229367,3.0, ,3.0,0.0
Rockaways,11693,2.3605319065229367,3.0, ,3.0,0.0
West Queens,11372,2.332887492612523,15.0, ,15.0,0.0
Bronx Park and Fordham,10468,2.317885058655369,18.0, ,16.0,2.0
High Bridge and Morrisania,10451,2.2802653399668324,11.0, ,11.0,0.0
Southwest Queens,11417,2.158828064764842,7.0, ,7.0,0.0
Inwood and Washington Heights,10033,1.973359644795264,12.0,↓,12.0,0.0
High Bridge and Morrisania,10452,1.923496146596053,15.0, ,11.0,4.0
East New York and New Lots,11208,1.9163850925412276,19.0, ,17.0,2.0
Southeast Bronx,10462,1.8942263979390817,15.0, ,14.0,1.0
Southeast Queens,11426,1.889823301521308,4.0, ,4.0,0.0
Southeast Queens,11413,1.8650192330108404,8.0, ,8.0,0.0
East Harlem,10029,1.8549204857418446,15.0,↑,13.0,2.0
Bronx Park and Fordham,10467,1.849724488405148,19.0, ,17.0,2.0
Bushwick and Williamsburg,11221,1.774391975016561,15.0, ,12.0,3.0
Central Harlem,10026,1.745418277022815,7.0,↑,6.0,1.0
Flatbush,11203,1.7107739278053402,13.0, ,12.0,1.0
Jamaica,11432,1.6897600540723217,11.0, ,8.0,3.0
Central Bronx,10460,1.6454946356874876,10.0, ,7.0,3.0
Northeast Bronx,10466,1.6311218040207152,12.0, ,12.0,0.0
Inwood and Washington Heights,10031,1.6030265140585425,10.0,↓,9.0,1.0
Central Bronx,10457,1.5858751387640746,12.0, ,9.0,3.0
Central Bronx,10453,1.580893082984726,13.0, ,11.0,2.0
Gramercy Park and Murray Hill,10016,1.5549681231534753,8.0, ,8.0,0.0
