Neighborhood,Zip Code,Rate (ER visits per 10K),Total ER Visits,change_labels,ER visits for fever/flu,ER visits for respiratory symptoms
Lower Manhattan,10038.0,4.452954535334194,10.0, ,9.0,1.0
Central Harlem,10030.0,4.309916122401618,13.0, ,12.0,1.0
Southwest Queens,11418.0,4.074668296533986,16.0, ,15.0,1.0
Inwood and Washington Heights,10032.0,3.3235736329825114,21.0, ,20.0,1.0
West Queens,11368.0,3.3145219674304607,38.0, ,36.0,2.0
Inwood and Washington Heights,10033.0,3.28893274132544,20.0, ,19.0,1.0
West Queens,11369.0,3.215003348961822,12.0, ,11.0,1.0
West Queens,11372.0,3.1105166568166975,20.0, ,18.0,2.0
Sunset Park,11220.0,2.888101023782018,29.0, ,29.0,0.0
East Harlem,10035.0,2.8275745065882485,10.0, ,9.0,1.0
East Harlem,10035.0,2.8275745065882485,10.0, ,9.0,1.0
Stapleton and St. George,10304.0,2.626301212873651,11.0, ,10.0,1.0
West Queens,11373.0,2.490840970182558,24.0, ,24.0,0.0
Bushwick and Williamsburg,11237.0,2.484756971654657,13.0, ,12.0,1.0
Inwood and Washington Heights,10040.0,2.3911484033649977,11.0, ,11.0,0.0
Northwest Queens,11102.0,2.371986835473063,8.0, ,8.0,0.0
West Queens,11377.0,2.3414503612523414,21.0, ,19.0,2.0
Hunts Point and Mott Haven,10454.0,2.3283489418947587,9.0, ,7.0,2.0
Canarsie and Flatlands,11236.0,2.285532578776346,23.0, ,21.0,2.0
Bronx Park and Fordham,10467.0,2.239140170174653,23.0, ,22.0,1.0
Port Richmond,10302.0,2.1576136792707263,4.0, ,4.0,0.0
Jamaica,11432.0,2.150603705182955,14.0, ,13.0,1.0
Northeast Bronx,10469.0,2.05456936226167,15.0, ,14.0,1.0
North Queens,11355.0,2.050910845699119,17.0, ,15.0,2.0
Northeast Bronx,10466.0,2.038902255025894,15.0, ,14.0,1.0
Central Brooklyn,11233.0,2.0004801152276546,15.0, ,9.0,6.0
Northwest Brooklyn,11205.0,1.9934437848852664,9.0, ,8.0,1.0
Central Bronx,10460.0,1.974593562824985,12.0, ,12.0,0.0
Southeast Bronx,10461.0,1.9599772642637345,10.0, ,10.0,0.0
Jamaica,11433.0,1.9434187512146366,7.0, ,7.0,0.0
Central Brooklyn,11212.0,1.9316439497289664,16.0, ,14.0,2.0
Bronx Park and Fordham,10468.0,1.9315708822128077,15.0, ,14.0,1.0
Inwood and Washington Heights,10031.0,1.923631816870251,12.0, ,12.0,0.0
Jamaica,11435.0,1.8576687945418313,11.0, ,11.0,0.0
Hunts Point and Mott Haven,10459.0,1.840679006033337,9.0, ,8.0,1.0
West Queens,11370.0,1.7757258279321673,6.0, ,6.0,0.0
West Queens,11370.0,1.7757258279321673,6.0, ,6.0,0.0
Central Bronx,10457.0,1.7180314003277475,13.0, ,11.0,2.0
Central Bronx,10453.0,1.7025002432143204,14.0, ,13.0,1.0
Lower East Side,10009.0,1.6627591825875858,10.0, ,9.0,1.0
High Bridge and Morrisania,10451.0,1.658374792703151,8.0, ,6.0,2.0
Jamaica,11434.0,1.6485575121768452,11.0, ,11.0,0.0
East New York and New Lots,11207.0,1.6202203499675956,15.0, ,14.0,1.0
West Central Queens,11374.0,1.6077170418006432,7.0, ,6.0,1.0
Bushwick and Williamsburg,11206.0,1.5951325669101142,14.0, ,12.0,2.0
Inwood and Washington Heights,10034.0,1.5842121939075724,7.0, ,7.0,0.0
Northeast Bronx,10475.0,1.5822427160326393,7.0, ,6.0,1.0
Gramercy Park and Murray Hill,10016.0,1.5549681231534753,8.0, ,7.0,1.0
Southern Brooklyn,11224.0,1.5471664751127223,7.0, ,6.0,1.0
Central Queens,11365.0,1.5362668715022496,7.0, ,6.0,1.0
South Shore,10306.0,1.4809055737583532,8.0, ,8.0,0.0
South Shore,10312.0,1.4740083199580727,9.0, ,9.0,0.0
High Bridge and Morrisania,10452.0,1.4105638408371055,11.0, ,9.0,2.0
High Bridge and Morrisania,10456.0,1.3732346012866152,13.0, ,11.0,2.0
Canarsie and Flatlands,11234.0,1.330045733110977,13.0, ,13.0,0.0
Bronx Park and Fordham,10458.0,1.2917317425461208,11.0, ,11.0,0.0
Stapleton and St. George,10301.0,1.2673949963245545,5.0, ,4.0,1.0
Flatbush,11226.0,1.2672417994833551,13.0, ,13.0,0.0
Southeast Queens,11427.0,1.2600277206098536,3.0, ,3.0,0.0
Kingsbridge and Riverdale,10463.0,1.2351948176715204,9.0, ,9.0,0.0
Kingsbridge and Riverdale,10463.0,1.2351948176715204,9.0, ,9.0,0.0
Southeast Bronx,10472.0,1.1606987406418665,8.0, ,8.0,0.0
Southwest Queens,11419.0,1.1452130096197892,6.0, ,6.0,0.0
Southeast Bronx,10465.0,1.1294585375770856,5.0, ,5.0,0.0
Southeast Bronx,10473.0,1.119444755401321,7.0, ,7.0,0.0
East Harlem,10029.0,1.1129522914451067,9.0, ,8.0,1.0
Greenpoint,11211.0,1.0831035840882237,11.0, ,11.0,0.0
Rockaways,11691.0,1.0710569802313483,7.0, ,6.0,1.0
West Central Queens,11379.0,1.0659844366272253,4.0, ,4.0,0.0
Northwest Queens,11101.0,1.03978926937474,3.0, ,3.0,0.0
Southeast Bronx,10462.0,1.0102540789008436,8.0, ,7.0,1.0
East New York and New Lots,11208.0,1.0086237329164356,10.0, ,7.0,3.0
Stapleton and St. George,10305.0,0.9453806338777151,4.0, ,4.0,0.0
Hunts Point and Mott Haven,10455.0,0.9398937920015038,4.0, ,3.0,1.0
West Central Queens,11385.0,0.93810390438845,10.0, ,9.0,1.0
Southwest Queens,11417.0,0.9252120277563609,3.0, ,3.0,0.0
Central Brooklyn,11238.0,0.9025596591934727,5.0, ,4.0,1.0
Central Brooklyn,11213.0,0.9022149376719848,6.0, ,6.0,0.0
Southeast Queens,11422.0,0.8960841124286867,3.0, ,3.0,0.0
Southwest Brooklyn,11228.0,0.8953353030710001,4.0, ,4.0,0.0
South Shore,10309.0,0.8912655971479501,3.0, ,3.0,0.0
Central Brooklyn,11216.0,0.8709284096847238,5.0, ,5.0,0.0
Flatbush,11210.0,0.8697164724299878,6.0, ,6.0,0.0
Bushwick and Williamsburg,11221.0,0.8280495883410618,7.0, ,6.0,1.0
Northwest Brooklyn,11231.0,0.7961783439490445,3.0, ,3.0,0.0
Northwest Brooklyn,11231.0,0.7961783439490445,3.0, ,3.0,0.0
Northwest Queens,11103.0,0.7887264696603218,3.0, ,3.0,0.0
Rockaways,11693.0,0.7868439688409788,1.0, ,1.0,0.0
Rockaways,11693.0,0.7868439688409788,1.0, ,1.0,0.0
Rockaways,11693.0,0.7868439688409788,1.0, ,1.0,0.0
Rockaways,11693.0,0.7868439688409788,1.0, ,1.0,0.0
Jamaica,11412.0,0.7725388200757087,3.0, ,3.0,0.0
Borough Park,11204.0,0.74947536724293,6.0, ,6.0,0.0
North Queens,11357.0,0.7247602251588433,3.0, ,3.0,0.0
Chelsea and Clinton,10019.0,0.7212925562608193,3.0, ,3.0,0.0
Southeast Queens,11413.0,0.6993822123790652,3.0, ,3.0,0.0
Mid-Island,10314.0,0.6669630947087594,6.0, ,6.0,0.0
Upper East Side,10021.0,0.6669186136985082,3.0, ,3.0,0.0
Flatbush,11203.0,0.6579899722328232,5.0, ,4.0,1.0
Gramercy Park and Murray Hill,10022.0,0.6492031031908333,2.0, ,2.0,0.0
Southern Brooklyn,11235.0,0.6232704245718133,5.0, ,5.0,0.0
Central Harlem,10027.0,0.6119482903694637,4.0, ,3.0,1.0
Gramercy Park and Murray Hill,10010.0,0.6038829674809022,2.0, ,2.0,0.0
Upper East Side,10028.0,0.5989099838294304,3.0, ,3.0,0.0
Southwest Brooklyn,11209.0,0.5886681383370125,4.0, ,4.0,0.0
North Queens,11358.0,0.5411401823642414,2.0, ,2.0,0.0
North Queens,11354.0,0.5211409512559497,3.0, ,3.0,0.0
Lower East Side,10002.0,0.5133140840551812,4.0, ,4.0,0.0
Upper West Side,10024.0,0.5127153404429861,3.0, ,3.0,0.0
Central Harlem,10026.0,0.49869093629223293,2.0, ,2.0,0.0
Northwest Queens,11106.0,0.49861633965745056,2.0, ,2.0,0.0
Southern Brooklyn,11223.0,0.49471275740523163,4.0, ,3.0,1.0
Upper West Side,10023.0,0.48769385830867773,3.0, ,3.0,0.0
Southern Brooklyn,11229.0,0.4663309084126096,4.0, ,4.0,0.0
West Central Queens,11375.0,0.4113138736169571,3.0, ,3.0,0.0
Southwest Queens,11420.0,0.40489108429832377,2.0, ,2.0,0.0
Borough Park,11218.0,0.38981288981288986,3.0, ,2.0,1.0
Chelsea and Clinton,10036.0,0.37218996575852314,1.0, ,1.0,0.0
Greenwich Village and Soho,10013.0,0.3376211215773659,1.0, ,0.0,1.0
Borough Park,11219.0,0.3192202513327445,3.0, ,3.0,0.0
Southwest Brooklyn,11214.0,0.3181909782251307,3.0, ,3.0,0.0
Greenpoint,11222.0,0.2714072465734835,1.0, ,1.0,0.0
,11040.0,0.23730422401518747,1.0, ,1.0,0.0
Central Queens,11367.0,0.22990619827110537,1.0, ,1.0,0.0
Southwest Queens,11421.0,0.22953152615511743,1.0, ,1.0,0.0
Borough Park,11230.0,0.22158946120522507,2.0, ,2.0,0.0
Upper West Side,10025.0,0.21190481235828865,2.0, ,2.0,0.0
Chelsea and Clinton,10011.0,0.19719587466230204,1.0, ,1.0,0.0
Lower East Side,10003.0,0.18170255292086854,1.0, ,1.0,0.0
Flatbush,11225.0,0.16807570129586366,1.0, ,1.0,0.0
Northwest Brooklyn,11201.0,0.16153262151291453,1.0, ,1.0,0.0
Northwest Brooklyn,11215.0,0.1408153207068929,1.0, ,1.0,0.0
Northwest Brooklyn,11217.0,0.0,0.0, ,0.0,0.0
Southeast Queens,11426.0,0.0,0.0, ,0.0,0.0
Northeast Queens,11361.0,0.0,0.0, ,0.0,0.0
Upper East Side,10065.0,0.0,0.0, ,0.0,0.0
West Queens,11378.0,0.0,0.0, ,0.0,0.0
Upper East Side,10128.0,0.0,0.0, ,0.0,0.0
Northeast Queens,11364.0,0.0,0.0, ,0.0,0.0
Greenwich Village and Soho,10014.0,0.0,0.0, ,0.0,0.0
Southeast Bronx,10464.0,0.0,0.0, ,0.0,0.0
Southeast Bronx,10464.0,0.0,0.0, ,0.0,0.0
Northwest Queens,11105.0,0.0,0.0, ,0.0,0.0
Southeast Bronx,10464.0,0.0,0.0, ,0.0,0.0
,10279.0,,0.0, ,0.0,0.0
